road,id,model_type,name,lat,lon,length
N1,1001133,link,link 874,21.1604167,92.1525,108.00000000000409
N1,1001134,link,link 875,21.1595,92.1526111,21.000000000015007
N1,1001135,link,link 876,21.1593056,92.1526111,73.00000000003593
N1,1001136,link,link 877,21.1586667,92.1525,354.99999999996135
N1,1001137,link,link 878,21.1556389,92.1527778,216.99999999998454
N1,1001138,link,link 879,21.1537778,92.1528611,212.00000000004593
N1,1001139,link,link 880,21.1521944,92.1535278,197.99999999997908
N1,1001140,link,link 881,21.1507222,92.1545,538.0000000000109
N1,1001141,link,link 882,21.147333,92.1574167,368.99999999997135
N1,1001142,bridge,bridge 260,21.1442774,92.1586389,19.000000000005457
N1,1001143,bridge,bridge 261,21.1441663,92.1586944,81.00000000001728
N1,1001144,link,link 883,21.1435274,92.1589722,247.99999999999045
N1,1001145,bridge,bridge 262,21.1414997,92.1599167,60.99999999997863
N1,1001146,bridge,bridge 263,21.1410552,92.1602222,603.0000000000086
N1,1001147,link,link 884,21.1381108,92.1648611,116.00000000004229
N1,1001148,link,link 885,21.1379719,92.1659167,122.99999999999045
N1,1001149,link,link 886,21.137833,92.1671104,130.9999999999718
N1,1001150,link,link 887,21.1375552,92.1683049,271.000000000015
N1,1001151,link,link 888,21.1372219,92.1708882,199.99999999998863
N1,1001152,link,link 889,21.1371108,92.1727771,120.00000000000455
N1,1001153,bridge,bridge 264,21.1368886,92.173916,30.00000000002956
N1,1001154,bridge,bridge 265,21.1367219,92.1741382,127.9999999999859
N1,1001155,link,link 890,21.1363886,92.1752493,31.999999999982265
N1,1001156,link,link 891,21.1363608,92.1755549,213.00000000002228
N1,1001157,link,link 892,21.1353886,92.1770827,493.99999999997135
N1,1001158,bridge,bridge 266,21.1333886,92.1806938,16.999999999995907
N1,1001159,bridge,bridge 267,21.1333608,92.1808327,176.00000000004457
N1,1001160,link,link 893,21.1329438,92.1824438,96.99999999997999
N1,1001161,link,link 894,21.1326938,92.183333,159.99999999996817
N1,1001162,link,link 895,21.1319716,92.1846108,174.00000000003502
N1,1001163,link,link 896,21.1309716,92.1856941,665.9999999999968
N1,1001164,link,link 897,21.1269438,92.1902219,12.000000000000455
N1,1001165,link,link 898,21.1268327,92.1902774,336.9999999999891
N1,1001166,link,link 899,21.1242771,92.1918886,40.99999999999682
N1,1001167,link,link 900,21.1239993,92.1919997,134.00000000001455
N1,1001168,link,link 901,21.1229993,92.1926663,112.99999999999955
N1,1001169,link,link 902,21.122166,92.1931941,84.99999999997954
N1,1001170,link,link 903,21.1214993,92.1935552,283.00000000001546
N1,1001171,link,link 904,21.1198604,92.1954719,110.99999999999
N1,1001172,link,link 905,21.1190827,92.1960274,192.99999999998363
N1,1001173,link,link 906,21.1175827,92.1966663,127.00000000000955
N1,1001174,link,link 907,21.1165,92.1969163,51.000000000044565
N1,1001175,link,link 908,21.1161389,92.1969997,38.99999999998727
N1,1001176,link,link 909,21.1158333,92.1971386,86.99999999998909
N1,1001177,bridge,bridge 268,21.1151667,92.1975552,77.99999999997453
N1,1001178,bridge,bridge 269,21.1146111,92.1979719,377.00000000000955
N1,1001179,link,link 910,21.1121111,92.2002778,47.000000000025466
N1,1001180,link,link 911,21.1118611,92.2006389,314.9999999999977
N1,1001181,link,link 912,21.1090556,92.2045278,430.0000000000068
N1,1001182,link,link 913,21.1078333,92.2058611,197.99999999997908
N1,1001183,link,link 914,21.1078333,92.2069444,69.99999999999318
N1,1001184,link,link 915,21.1058333,92.20725,64.00000000002137
N1,1001185,link,link 916,21.1053611,92.2073889,120.00000000000455
N1,1001186,link,link 917,21.1043611,92.2075278,206.99999999999363
N1,1001187,link,link 918,21.1026389,92.2077778,171.99999999996862
N1,1001188,link,link 919,21.1012778,92.2081389,220.00000000002728
N1,1001189,link,link 920,21.0996386,92.2091667,284.99999999996817
N1,1001190,link,link 921,21.0975552,92.2105,28.00000000002001
N1,1001191,link,link 922,21.097333,92.2106111,399.0000000000009
N1,1001192,bridge,bridge 270,21.0939441,92.2118611,36.000000000001364
N1,1001193,bridge,bridge 271,21.0936663,92.2119444,158.00000000001546
N1,1001194,link,link 923,21.0923052,92.2123333,235.00000000001364
N1,1001195,link,link 924,21.090333,92.2129444,143.9999999999486
N1,1001196,link,link 925,21.0891941,92.2135,346.00000000000364
N1,1001197,link,link 926,21.0864997,92.2151111,68.00000000004047
N1,1001198,link,link 927,21.0859441,92.2153889,252.9999999999859
N1,1001199,link,link 928,21.0838608,92.2161111,332.99999999997
N1,1001200,link,link 929,21.0811104,92.2169438,105.00000000001819
N1,1001201,link,link 930,21.0803049,92.2174993,261.0000000000241
N1,1001202,link,link 931,21.0783327,92.2186382,58.99999999996908
N1,1001203,link,link 932,21.077916,92.2189993,259.9999999999909
N1,1001204,link,link 933,21.0765549,92.2209993,259.00000000001455
N1,1001205,link,link 934,21.0745271,92.2220549,146.000000000015
N1,1001206,link,link 935,21.0735271,92.2226104,110.00000000001364
N1,1001207,link,link 936,21.0728327,92.2232216,181.99999999995953
N1,1001208,link,link 937,21.071666,92.2242216,312.0000000000118
N1,1001209,link,link 938,21.0691104,92.2246382,250.0
N1,1001210,link,link 939,21.0668882,92.2246104,146.000000000015
N1,1001211,link,link 940,21.0655833,92.2245549,77.99999999997453
N1,1001212,link,link 941,21.0650556,92.2245271,261.0000000000241
N1,1001213,link,link 942,21.063,92.2254993,187.99999999998818
N1,1001214,link,link 943,21.0615556,92.2262771,204.00000000000773
N1,1001215,bridge,bridge 272,21.0597778,92.2263882,14.999999999986358
N1,1001216,bridge,bridge 273,21.0596667,92.2263882,341.99999999998454
N1,1001217,link,link 944,21.0565833,92.2266104,184.00000000002592
N1,1001218,link,link 945,21.0549722,92.2268049,648.0000000000246
N1,1001219,bridge,bridge 274,21.0513611,92.2302493,37.99999999995407
N1,1001220,bridge,bridge 275,21.0513611,92.2305827,125.0
N1,1001221,link,link 946,21.0513056,92.2317493,64.00000000002137
N1,1001222,link,link 947,21.0512778,92.2323327,189.00000000002137
N1,1001223,link,link 948,21.0507222,92.2338608,327.99999999997453
N1,1001224,link,link 949,21.0479441,92.2346386,381.00000000002865
N1,1001225,link,link 950,21.0446941,92.2356941,86.99999999998909
N1,1001226,link,link 951,21.0439163,92.2359441,396.99999999999136
N1,1001227,link,link 952,21.0407497,92.2374997,540.0000000000205
N1,1001228,bridge,bridge 276,21.0363608,92.2396941,40.99999999999682
N1,1001229,bridge,bridge 277,21.0360552,92.2398608,270.99999999995816
N1,1001230,link,link 953,21.0338608,92.2407774,203.00000000003138
N1,1001231,link,link 954,21.0321104,92.241083,233.0000000000041
N1,1001232,link,link 955,21.0300549,92.2413608,353.999999999985
N1,1001233,link,link 956,21.0269438,92.2416941,209.00000000000318
N1,1001234,link,link 957,21.0249993,92.2418608,243.99999999997135
N1,1001235,bridge,bridge 278,21.0228882,92.2420274,35.00000000002501
N1,1001236,bridge,bridge 279,21.0226104,92.2420552,483.99999999998045
N1,1001237,link,link 958,21.0186104,92.2431386,206.99999999999363
N1,1001238,link,link 959,21.0169993,92.2440274,256.00000000002865
N1,1001239,link,link 960,21.0150833,92.245333,606.9999999999709
N1,1001240,link,link 961,21.0107222,92.2487219,91.00000000000819
N1,1001241,link,link 962,21.0101389,92.2492497,316.0000000000309
N1,1001242,link,link 963,21.0078889,92.251,200.99999999996498
N1,1001243,link,link 964,21.0064444,92.2520833,424.000000000035
N1,1001244,link,link 965,21.0029444,92.2531944,444.9999999999932
N1,1001245,bridge,bridge 280,20.9990274,92.2537778,50.00000000001137
N1,1001246,bridge,bridge 281,20.9986386,92.2538889,502.9999999999859
N1,1001247,link,link 966,20.9942497,92.2545278,33.999999999991815
N1,1001248,link,link 967,20.9940274,92.2546111,742.0000000000186
N1,1001249,link,link 968,20.9875274,92.2545556,276.9999999999868
N1,1001250,link,link 969,20.9852774,92.2536389,891.9999999999959
N1,1001251,bridge,bridge 282,20.9778049,92.25075,31.999999999982265
N1,1001252,bridge,bridge 283,20.9775827,92.2506111,76.00000000002183
N1,1001253,link,link 970,20.9769438,92.2502222,860.99999999999
N1,1001254,link,link 971,20.9697216,92.2485552,174.00000000003502
N1,1001255,link,link 972,20.9682771,92.2488052,118.99999999997135
N1,1001256,bridge,bridge 284,20.9673604,92.2491663,42.00000000003001
N1,1001257,bridge,bridge 285,20.9671104,92.2494441,336.9999999999891
N1,1001258,link,link 973,20.9648611,92.2515278,322.9999999999791
N1,1001259,bridge,bridge 286,20.9622778,92.2528889,31.00000000000591
N1,1001260,bridge,bridge 287,20.9620556,92.2530556,168.00000000000637
N1,1001261,link,link 974,20.9606389,92.2535,302.0000000000209
N1,1001262,link,link 975,20.9580833,92.2543056,169.99999999995907
N1,1001263,link,link 976,20.9566667,92.2548056,336.00000000001273
N1,1001264,link,link 977,20.9538889,92.2559722,93.00000000001774
N1,1001265,link,link 978,20.9531667,92.2562778,120.00000000000455
N1,1001266,link,link 979,20.95225,92.2566111,15.99999999996271
N1,1001267,link,link 980,20.9521667,92.2566944,335.0000000000364
N1,1001268,link,link 981,20.94957125079681,92.25817740896414,166.99999999997317
N1,1001269,bridge,bridge 288,20.9482774,92.2589167,45.99999999999227
N1,1001270,bridge,bridge 289,20.9481386,92.2593056,330.0000000000409
N1,1001271,link,link 982,20.9459163,92.2603333,186.99999999995498
N1,1001272,link,link 983,20.9445552,92.2603333,99.00000000004638
N1,1001273,link,link 984,20.9436941,92.2603056,751.9999999999527
N1,1001274,bridge,bridge 290,20.9373886,92.2623333,40.000000000020464
N1,1001275,bridge,bridge 291,20.9371108,92.2624722,108.99999999998045
N1,1001276,link,link 985,20.9361663,92.2628611,12.000000000000455
N1,1001277,link,link 986,20.9361108,92.2628611,165.99999999999682
N1,1001278,link,link 987,20.9346663,92.2631667,40.000000000020464
N1,1001279,link,link 988,20.934333,92.26325,149.99999999997726
N1,1001280,link,link 989,20.9330549,92.2635,388.00000000003365
N1,1001281,bridge,bridge 292,20.929666,92.2641111,36.99999999997772
N1,1001282,bridge,bridge 293,20.9293327,92.2641389,256.00000000002865
N1,1001283,link,link 990,20.9270827,92.2644444,380.9999999999718
N1,1001284,bridge,bridge 294,20.9238882,92.2653889,50.99999999998772
N1,1001285,bridge,bridge 295,20.9234993,92.2656111,530.0000000000296
N1,1001286,bridge,bridge 296,20.9195827,92.268416,16.999999999995907
N1,1001287,bridge,bridge 297,20.9194993,92.2684716,55.00000000000682
N1,1001288,link,link 991,20.9189993,92.2686382,29.999999999972715
N1,1001289,link,link 992,20.9187771,92.2687771,140.0000000000432
N1,1001290,link,link 993,20.9176382,92.2692493,254.99999999999545
N1,1001291,bridge,bridge 298,20.9157222,92.2704993,37.99999999995407
N1,1001292,bridge,bridge 299,20.9154167,92.2706938,232.00000000002774
N1,1001293,link,link 994,20.9136389,92.2718604,83.00000000002683
N1,1001294,link,link 995,20.9132778,92.2721938,117.999999999995
N1,1001295,link,link 996,20.9123889,92.2729716,25.999999999953616
N1,1001296,link,link 997,20.9122222,92.2729438,446.0000000000264
N1,1001297,bridge,bridge 300,20.9088889,92.275166,47.000000000025466
N1,1001298,bridge,bridge 301,20.9085556,92.2753604,237.99999999999955
N1,1001299,link,link 998,20.90675,92.2764993,122.99999999999045
N1,1001300,link,link 999,20.9059444,92.2771104,145.99999999995816
N1,1001301,link,link 1000,20.9048333,92.277916,16.999999999995907
N1,1001302,link,link 1001,20.9047222,92.2779716,194.00000000001683
N1,1001303,link,link 1002,20.9033333,92.2789438,103.00000000000864
N1,1001304,link,link 1003,20.9027222,92.279416,310.9999999999786
N1,1001305,bridge,bridge 302,20.9003333,92.2807216,36.000000000001364
N1,1001306,bridge,bridge 303,20.9001111,92.2809716,112.99999999999955
N1,1001307,link,link 1004,20.8994441,92.2817216,164.0000000000441
N1,1001308,bridge,bridge 304,20.8984719,92.2828604,46.99999999996862
N1,1001309,bridge,bridge 305,20.8982219,92.283166,14.999999999986358
N1,1001310,link,link 1005,20.8981108,92.2832493,22.000000000048203
N1,1001311,link,link 1006,20.8980274,92.283333,52.99999999999727
N1,1001312,link,link 1007,20.8977497,92.2836941,209.99999999997954
N1,1001313,bridge,bridge 306,20.8969163,92.2854441,33.00000000001546
N1,1001314,bridge,bridge 307,20.8967774,92.2857219,46.99999999996862
N1,1001315,link,link 1008,20.8965552,92.286083,218.9999999999941
N1,1001316,link,link 1009,20.8953608,92.2877219,84.00000000000318
N1,1001317,link,link 1010,20.8948052,92.2881941,103.00000000000864
N1,1001318,bridge,bridge 308,20.894083,92.2887774,24.00000000000091
N1,1001319,bridge,bridge 309,20.8939441,92.2889163,105.00000000001819
N1,1001320,link,link 1011,20.8932774,92.2896386,79.00000000000773
N1,1001321,link,link 1012,20.8927774,92.2901386,20.999999999958163
N1,1001322,link,link 1013,20.8926386,92.2902774,171.0000000000491
N1,1001323,bridge,bridge 310,20.8919163,92.2916663,19.99999999998181
N1,1001324,bridge,bridge 311,20.8918886,92.2918052,55.999999999983174
N1,1001325,link,link 1014,20.891833,92.2923052,742.0000000000186
N1,1001326,bridge,bridge 312,20.8889163,92.2982497,14.999999999986358
N1,1001327,bridge,bridge 313,20.888833,92.2983886,257.99999999998136
N1,1001328,link,link 1015,20.8869441,92.2996386,133.0000000000382
N1,1001329,link,link 1016,20.8858608,92.2991941,473.99999999998954
N1,1001330,link,link 1017,20.8820271,92.2977774,430.9999999999832
N1,1001331,link,link 1018,20.8782216,92.2977774,163.0000000000109
N1,1001332,bridge,bridge 314,20.8768604,92.2978886,43.00000000000637
N1,1001333,bridge,bridge 315,20.8764993,92.2978886,793.9999999999827
N1,1001334,link,link 1019,20.8692771,92.2981386,50.00000000001137
N1,1001335,link,link 1020,20.8688604,92.2982219,427.99999999999727
N1,1001336,bridge,bridge 316,20.8650278,92.2982497,42.00000000003001
N1,1001337,bridge,bridge 317,20.8646667,92.2981941,177.99999999999727
N1,1001338,link,link 1021,20.8629722,92.298083,129.99999999999545
N1,1001339,link,link 1022,20.8629167,92.298083,0.0
N1,1001340,sink,sink,20.8629167,92.298083,0.0
