road,id,model_type,name,lat,lon,length
N1,1000826,link,link 636,21.7596389,92.0764993,552.9999999999973
N1,1000827,link,link 637,21.7546944,92.0770271,1002.0000000000095
N1,1000828,link,link 638,21.7466386,92.080916,865.0000000000091
N1,1000829,link,link 639,21.7392497,92.0828604,140.9999999999627
N1,1000830,link,link 640,21.738083,92.0834163,50.99999999998772
N1,1000831,link,link 641,21.7376386,92.0834719,680.0000000000068
N1,1000832,link,link 642,21.7315827,92.0838052,181.00000000004002
N1,1000833,bridge,bridge 191,21.7299993,92.083833,38.99999999998727
N1,1000834,bridge,bridge 192,21.7296382,92.083833,69.00000000001683
N1,1000835,link,link 643,21.7290271,92.0838608,688.9999999999645
N1,1000836,link,link 644,21.7229438,92.0834719,163.0000000000109
N1,1000837,link,link 645,21.7215549,92.0830827,148.00000000002456
N1,1000838,link,link 646,21.7204716,92.0822493,419.9999999999591
N1,1000839,link,link 647,21.7169438,92.0824993,612.9999999999995
N1,1000840,link,link 648,21.7120833,92.0821104,526.9999999999868
N1,1000841,link,link 649,21.7080278,92.0800549,489.00000000003274
N1,1000842,link,link 650,21.7040556,92.0788604,310.0000000000023
N1,1000843,link,link 651,21.7013611,92.0783882,697.9999999999791
N1,1000844,link,link 652,21.6957497,92.0805827,1012.0000000000005
N1,1000845,link,link 653,21.6868608,92.0800827,1000.0
N1,1000846,link,link 654,21.678416,92.0770827,417.00000000003
N1,1000847,bridge,bridge 193,21.6747493,92.0766104,61.99999999995498
N1,1000848,bridge,bridge 194,21.6742216,92.0765549,423.0000000000018
N1,1000849,link,link 655,21.6704438,92.0762771,34.00000000004866
N1,1000850,link,link 656,21.6695549,92.0760549,96.00000000000364
N1,1000851,link,link 657,21.6688327,92.0759438,765.9999999999627
N1,1000852,link,link 658,21.6618889,92.074916,143.0000000000291
N1,1000853,link,link 659,21.6606111,92.0750827,175.99999999998772
N1,1000854,bridge,bridge 195,21.6590556,92.0751382,55.999999999983174
N1,1000855,bridge,bridge 196,21.653,92.0751382,783.9999999999918
N1,1000856,link,link 660,21.6518056,92.0737771,237.0000000000232
N1,1000857,bridge,bridge 197,21.6497219,92.0733049,62.00000000001182
N1,1000858,bridge,bridge 198,21.6491941,92.0733049,17.99999999997226
N1,1000859,bridge,bridge 199,21.649083,92.0733049,251.0000000000332
N1,1000860,link,link 661,21.6468052,92.0733604,447.00000000000273
N1,1000861,link,link 662,21.6428608,92.0732216,1017.9999999999723
N1,1000862,link,link 663,21.634833,92.0770271,1028.00000000002
N1,1000863,link,link 664,21.6259716,92.0773882,733.9999999999804
N1,1000864,link,link 665,21.6213604,92.0724438,266.00000000001955
N1,1000865,link,link 666,21.6197771,92.0705271,399.0000000000009
N1,1000866,bridge,bridge 200,21.617166,92.0679993,50.99999999998772
N1,1000867,bridge,bridge 201,21.6167771,92.0678049,58.99999999996908
N1,1000868,link,link 667,21.6150556,92.0667771,115.0000000000091
N1,1000869,link,link 668,21.61225,92.0652222,140.0000000000432
N1,1000870,link,link 669,21.610086825,92.06399479375,179.99999999994998
N1,1000871,link,link 670,21.6073056,92.0624167,797.0000000000255
N1,1000872,link,link 671,21.6039167,92.0619444,57.00000000001637
N1,1000873,link,link 672,21.603029505025123,92.061920540201,341.0000000000082
N1,1000874,link,link 673,21.5977219,92.0617778,601.9999999999754
N1,1000875,link,link 674,21.5951108,92.0611944,81.99999999999363
N1,1000876,link,link 675,21.59379884019608,92.06161870980392,326.0000000000218
N1,1000877,link,link 676,21.588583,92.0633056,503.99999999996226
N1,1000878,link,link 677,21.5875274,92.0650278,100.00000000002274
N1,1000879,link,link 678,21.5861941,92.0650278,168.00000000000637
N1,1000880,link,link 679,21.584833,92.0652222,730.9999999999945
N1,1000881,link,link 680,21.5791938,92.0668049,129.0000000000191
N1,1000882,link,link 681,21.5769993,92.0697216,840.9999999999513
N1,1000883,link,link 682,21.5717216,92.0718049,694.0000000000168
N1,1000884,link,link 683,21.564,92.0702493,326.0000000000218
N1,1000885,link,link 684,21.5629444,92.0700271,134.9999999999909
N1,1000886,link,link 685,21.5618056,92.0696382,120.9999999999809
N1,1000887,link,link 686,21.5608333,92.0692771,746.0000000000377
N1,1000888,link,link 687,21.5555,92.0679716,195.99999999996953
N1,1000889,bridge,bridge 202,21.5553056,92.067916,52.00000000002092
N1,1000890,bridge,bridge 203,21.5548889,92.0678049,423.0000000000018
N1,1000891,bridge,bridge 204,21.5484719,92.0670827,45.99999999999227
N1,1000892,bridge,bridge 205,21.548083,92.0670271,182.99999999999272
N1,1000893,link,link 688,21.546583,92.0668327,887.0000000000005
N1,1000894,link,link 689,21.538333,92.0639722,1016.0000000000196
N1,1000895,link,link 690,21.5294993,92.0650278,32.99999999995862
N1,1000896,link,link 691,21.5283049,92.0650833,212.00000000004593
N1,1000897,link,link 692,21.5264716,92.0651944,343.9999999999941
N1,1000898,bridge,bridge 206,21.5234716,92.0656111,19.99999999998181
N1,1000899,bridge,bridge 207,21.5233049,92.0656389,139.00000000001
N1,1000900,link,link 693,21.5220827,92.0658611,161.99999999997772
N1,1000901,link,link 694,21.520666,92.0661667,555.0000000000068
N1,1000902,link,link 695,21.5161111,92.068166,423.9999999999782
N1,1000903,link,link 696,21.5126944,92.0698604,27.000000000043656
N1,1000904,link,link 697,21.5125556,92.0699438,512.0000000000005
N1,1000905,link,link 698,21.5083889,92.0717493,204.00000000000773
N1,1000906,link,link 699,21.5069722,92.072916,283.9999999999918
N1,1000907,link,link 700,21.505,92.0745549,911.0000000000014
N1,1000908,link,link 701,21.4974719,92.0765549,88.99999999999864
N1,1000909,link,link 702,21.4968608,92.0769438,48.00000000000182
N1,1000910,link,link 703,21.4964441,92.077166,904.9999999999727
N1,1000911,link,link 704,21.4901941,92.0818049,985.99999999999
N1,1000912,link,link 705,21.4870274,92.0898052,274.0000000000009
N1,1000913,link,link 706,21.4851386,92.091333,700.0000000000455
N1,1000914,link,link 707,21.4793604,92.0938886,357.99999999994725
N1,1000915,link,link 708,21.4767771,92.0957497,250.0
N1,1000916,link,link 709,21.4750549,92.0971663,522.0000000000482
N1,1000917,link,link 710,21.4713604,92.0997497,20.999999999958163
N1,1000918,bridge,bridge 208,21.4712216,92.0998886,59.00000000002592
N1,1000919,bridge,bridge 209,21.4708049,92.1002222,533.9999999999918
