road,model_type,name,lat,lon,length,condition,start_km,end_km,id
N1,link,Box culvert,23.6854997,90.5512778,0.5000000000006111,,12.67375,12.67425,1000054
N1,bridge,Madanpur Bridge(R),23.6853619779342,90.5513591765258,27.5,A,12.67425,12.70175,1000055
N1,link,Box culvert,23.6854997,90.5512778,822.2499999999986,,12.70175,13.524,1000056
N1,link,Km post missing,23.678166,90.5556111,44.05000000000037,,13.524,13.56805,1000057
N1,bridge,KAWTALA BOX CULVERT,23.6778035,90.5558194349999,11.9,A,13.56805,13.57995,1000058
N1,link,Km post missing,23.678166,90.5556111,944.0499999999989,,13.57995,14.524,1000059
N1,link,Km post missing,23.670916,90.5597778,39.00000000000148,,14.524,14.563,1000060
N1,link,Box culvert,23.6705827,90.5599722,899.2249999999995,,14.563,15.462225,1000061
N1,bridge,MALIBAG BOX CULVERT,23.6633090696149,90.563856994797,5.55,B,15.462225,15.467775,1000062
N1,link,Box culvert,23.6705827,90.5599722,56.224999999999525,,15.467775,15.524,1000063
N1,link,Km post missing,23.6628333,90.5641111,411.00000000000136,,15.524,15.935,1000064
N1,link,Road to MinanbariZ1061),23.6604167,90.5671104,307.0000000000004,,15.935,16.242,1000065
N1,link,Langalbandhu bridge,23.6591111,90.5697216,160.00000000000014,,16.242,16.402,1000066
N1,link,Bridge end,23.6583056,90.5709993,121.99999999999989,,16.402,16.524,1000067
N1,link,Km post missing,23.6575,90.5719716,306.99999999999864,,16.524,16.831,1000068
N1,link,Bridge start,23.6559722,90.5743327,21.000000000000796,,16.831,16.852,1000069
N1,link,Bridge end,23.6559167,90.5745271,202.23999999999975,,16.852,17.05424,1000070
N1,bridge,Langalbandh Bridge.,23.6544257051136,90.576730225,159.52,C,17.05424,17.21376,1000071
N1,bridge,LANGOLBANDO PC GIDER BRIDGE,23.6544257051136,90.576730225,159.5,B,17.05425,17.21375,1000072
N1,bridge,Darikandi Bridge (L),23.65397226,90.57741042,20.5,A,17.211750000000002,17.23225,1000073
N1,bridge,Darikandi Bridge (R),23.65397226,90.57741042,20.45,A,17.211775000000003,17.232225,1000074
N1,link,Bridge start,23.6540556,90.5772771,1.7500000000012506,,17.23225,17.234,1000075
N1,link,Bridge end,23.6539167,90.5774993,289.99999999999915,,17.234,17.524,1000076
N1,link,Km post missing,23.6525278,90.5798882,187.99999999999883,,17.524,17.712,1000077
N1,bridge,DARIKANDI BRIDGE (R),23.6515705663716,90.5814943946902,20.0,B,17.712,17.732000000000003,1000078
N1,bridge,DARIKANDI BRIDGE (L),23.6515705663716,90.5814943946902,20.0,B,17.712,17.732000000000003,1000079
N1,link,Km post missing,23.6525278,90.5798882,130.99999999999667,,17.732000000000003,17.863,1000080
N1,link,Bridge start,23.6508889,90.5826382,41.00000000000037,,17.863,17.904,1000081
N1,link,Bridge end,23.6506944,90.5829993,176.24999999999957,,17.904,18.08025,1000082
N1,bridge,Sonakhal Bridge(R),23.6497543993548,90.5845490085483,25.5,B,18.08025,18.10575,1000083
N1,bridge,Sonakhal Bridge(L),23.6497543993548,90.5845490085483,25.5,A,18.08025,18.10575,1000084
N1,bridge,SONARKALI BRIDGE(L),23.6497543993548,90.5845490085483,24.5,B,18.08075,18.10525,1000085
N1,bridge,SONARKALI BRIDGE(R),23.6497543993548,90.5845490085483,24.5,B,18.08075,18.10525,1000086
N1,link,Bridge end,23.6506944,90.5829993,418.25000000000045,,18.10575,18.524,1000087
N1,link,Km post missing,23.6476108,90.588083,197.7499999999992,,18.524,18.72175,1000088
N1,bridge,MOLLIK PARA BRIDGE (R),23.6459685949152,90.5892119813559,40.5,C,18.72175,18.76225,1000089
N1,bridge,MOLLIK PARA P.C(L),23.6459685949152,90.5892119813559,40.5,B,18.72175,18.76225,1000090
N1,bridge,Mollik para Bridge(L),23.6459685949152,90.5892119813559,40.4,B,18.7218,18.7622,1000091
N1,bridge,Mollik para Bridge(R),23.6459685949152,90.5892119813559,40.33,B,18.721835000000002,18.762165,1000092
N1,link,Km post missing,23.6476108,90.588083,115.74999999999847,,18.76225,18.878,1000093
N1,link,Box culvert,23.6449441,90.5899163,643.0000000000007,,18.878,19.521,1000094
N1,link,Box culvert,23.6397497,90.5926941,3.0000000000001137,,19.521,19.524,1000095
N1,link,Km post missing,23.6396941,90.5927219,233.00000000000054,,19.524,19.757,1000096
N1,bridge,KRIBORDI BOX CULVERT,23.6379543715384,90.5936673976923,6.0,A,19.757,19.763,1000097
N1,link,Km post missing,23.6396941,90.5927219,280.9999999999988,,19.763,20.044,1000098
N1,link,Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066),23.6358608,90.5948052,297.9999999999983,,20.044,20.342,1000099
N1,link,Bridge start,23.6341108,90.5970274,49.80000000000118,,20.342,20.3918,1000100
N1,bridge,SHADIPUR BOX CULVERT,23.63380522,90.597394085,10.4,B,20.3918,20.402199999999997,1000101
N1,link,Bridge start,23.6341108,90.5970274,39.800000000003166,,20.402199999999997,20.442,1000102
N1,link,Bridge end,23.6335552,90.5976941,82.00000000000074,,20.442,20.524,1000103
N1,link,Km post missing,23.6330549,90.5982774,615.1249999999991,,20.524,21.139125,1000104
N1,bridge,Marikhali Bridge(R),23.6284668507692,90.6023015723077,89.75,A,21.139125,21.228875000000002,1000105
N1,bridge,MARIKHALL BRIDGE,23.6284668507692,90.6023015723077,89.2,A,21.139400000000002,21.2286,1000106
