,truck_id,bridge_id,bridge_condition,bridge_length,start_time,end_time,wait_duration,seed
0,Truck43200,1001834,C,8.1,479,493.74083789098563,14.74083789098561,124
1,Truck43201,1001834,C,8.1,484,503.38537504826587,19.385375048265885,124
2,Truck43202,1001834,C,8.1,489,506.455746600993,17.455746600993,124
3,Truck43203,1001834,C,8.1,494,504.6576187244241,10.65761872442408,124
4,Truck43204,1001834,C,8.1,499,515.7826061011372,16.78260610113712,124
5,Truck43205,1001834,C,8.1,504,517.6444861257415,13.644486125741532,124
6,Truck43206,1001834,C,8.1,509,523.6157180688838,14.61571806888374,124
7,Truck43207,1001834,C,8.1,514,525.1867689593837,11.18676895938367,124
8,Truck43208,1001834,C,8.1,519,529.6089168148509,10.608916814850854,124
9,Truck43209,1001834,C,8.1,524,543.440378475817,19.44037847581709,124
10,Truck43210,1001834,C,8.1,529,547.7765247829708,18.77652478297082,124
11,Truck43211,1001834,C,8.1,534,544.5073634873962,10.507363487396269,124
12,Truck43212,1001834,C,8.1,539,557.1831154100676,18.183115410067522,124
13,Truck43213,1001834,C,8.1,544,562.5292358204244,18.529235820424425,124
14,Truck43214,1001834,C,8.1,549,568.2848141965737,19.28481419657374,124
15,Truck43215,1001834,C,8.1,554,569.4738689898716,15.473868989871544,124
16,Truck43216,1001834,C,8.1,559,578.6094632610437,19.60946326104372,124
17,Truck43200,1002427,C,2.8,561,575.9680751758847,14.968075175884684,124
18,Truck43217,1001834,C,8.1,564,574.0057630960322,10.005763096032195,124
19,Truck43218,1001834,C,8.1,569,582.8976439208501,13.897643920850145,124
20,Truck43201,1002427,C,2.8,571,588.9646949910638,17.964694991063766,124
21,Truck43203,1002427,C,2.8,572,588.3032026497818,16.30320264978182,124
22,Truck43202,1002427,C,2.8,574,585.4199743606683,11.41997436066833,124
23,Truck43219,1001834,C,8.1,574,592.2719132283156,18.271913228315647,124
24,Truck43220,1001834,C,8.1,579,590.1056674121447,11.105667412144749,124
25,Truck43204,1002427,C,2.8,583,601.1423426514939,18.14234265149394,124
26,Truck43221,1001834,C,8.1,584,597.1123378967652,13.112337896765162,124
27,Truck43205,1002427,C,2.8,585,602.3434363915185,17.34343639151851,124
28,Truck43200,1002495,C,1.2,587,600.3998823846935,13.3998823846935,124
29,Truck43222,1001834,C,8.1,589,602.4041151373735,13.404115137373594,124
30,Truck43206,1002427,C,2.8,591,601.1756288628255,10.175628862825516,124
31,Truck43207,1002427,C,2.8,593,607.0339040669959,14.033904066995861,124
32,Truck43223,1001834,C,8.1,594,606.8059894836114,12.80598948361137,124
33,Truck43202,1002495,C,1.2,597,607.6659788568214,10.665978856821429,124
34,Truck43208,1002427,C,2.8,597,614.9203681018396,17.920368101839593,124
35,Truck43224,1001834,C,8.1,599,613.3531317093392,14.353131709339209,124
36,Truck43201,1002495,C,1.2,600,612.565577332015,12.565577332014962,124
37,Truck43203,1002495,C,1.2,600,619.5898320804326,19.589832080432625,124
38,Truck43225,1001834,C,8.1,604,622.58487596643,18.58487596642996,124
39,Truck43226,1001834,C,8.1,609,625.1674209045627,16.167420904562746,124
40,Truck43209,1002427,C,2.8,611,630.0294592599033,19.02945925990329,124
41,Truck43211,1002427,C,2.8,612,623.1332625179625,11.133262517962493,124
42,Truck43204,1002495,C,1.2,613,628.0553023022849,15.055302302284815,124
43,Truck43206,1002495,C,1.2,613,625.9624118280835,12.962411828083562,124
44,Truck43205,1002495,C,1.2,614,630.7303446972081,16.730344697208093,124
45,Truck43227,1001834,C,8.1,614,629.9741843507351,15.974184350735053,124
46,Truck43210,1002427,C,2.8,615,630.3902858710901,15.390285871090082,124
47,Truck43207,1002495,C,1.2,619,634.7695637142258,15.769563714225756,124
48,Truck43228,1001834,C,8.1,619,638.5133950531304,19.513395053130374,124
49,Truck43229,1001834,C,8.1,624,639.2215196895472,15.221519689547259,124
50,Truck43212,1002427,C,2.8,625,641.1010336012606,16.10103360126059,124
51,Truck43208,1002495,C,1.2,626,645.6251555609819,19.625155560981838,124
52,Truck43230,1001834,C,8.1,629,645.3845813045654,16.384581304565398,124
53,Truck43213,1002427,C,2.8,630,647.9326172571434,17.932617257143463,124
54,Truck43231,1001834,C,8.1,634,647.6557999470897,13.655799947089731,124
55,Truck43211,1002495,C,1.2,635,652.9288278582313,17.92882785823135,124
56,Truck43214,1002427,C,2.8,636,655.4787997932332,19.478799793233144,124
57,Truck43215,1002427,C,2.8,637,653.4221786008784,16.422178600878404,124
58,Truck43232,1001834,C,8.1,639,649.2725032005799,10.272503200579923,124
59,Truck43209,1002495,C,1.2,642,652.2193032299956,10.21930322999564,124
60,Truck43210,1002495,C,1.2,642,659.8694809009259,17.86948090092585,124
61,Truck43217,1002427,C,2.8,642,652.1218670334392,10.121867033439255,124
62,Truck43233,1001834,C,8.1,644,655.5464698625376,11.546469862537572,124
63,Truck43216,1002427,C,2.8,646,660.6621988694153,14.662198869415272,124
64,Truck43234,1001834,C,8.1,649,662.5305835303029,13.530583530302971,124
65,Truck43218,1002427,C,2.8,650,666.0271274704322,16.027127470432216,124
66,Truck43212,1002495,C,1.2,653,670.9043668605327,17.904366860532697,124
67,Truck43235,1001834,C,8.1,654,668.4035370240639,14.403537024063926,124
68,Truck43220,1002427,C,2.8,658,673.0290260784152,15.029026078415225,124
69,Truck43213,1002495,C,1.2,659,677.3972215079145,18.397221507914516,124
70,Truck43236,1001834,C,8.1,659,678.5098913599654,19.5098913599654,124
71,Truck43219,1002427,C,2.8,660,675.5316898407017,15.53168984070174,124
72,Truck43217,1002495,C,1.2,664,678.5613693516076,14.561369351607645,124
73,Truck43237,1001834,C,8.1,664,678.203297403562,14.203297403562052,124
74,Truck43215,1002495,C,1.2,665,681.0865782672972,16.08657826729727,124
75,Truck43221,1002427,C,2.8,665,678.6907943480611,13.690794348061054,124
76,Truck43214,1002495,C,1.2,667,683.7042498014905,16.70424980149045,124
77,Truck43238,1001834,C,8.1,669,688.9981968994953,19.998196899495298,124
78,Truck43222,1002427,C,2.8,670,686.690824314998,16.690824314998032,124
79,Truck43216,1002495,C,1.2,672,685.5573874727642,13.557387472764201,124
80,Truck43223,1002427,C,2.8,674,690.6244548205776,16.62445482057766,124
81,Truck43239,1001834,C,8.1,674,685.4807662212868,11.480766221286768,124
82,Truck43218,1002495,C,1.2,678,695.0857765729824,17.085776572982354,124
83,Truck43240,1001834,C,8.1,679,694.3790813506348,15.379081350634792,124
84,Truck43224,1002427,C,2.8,681,693.649500893272,12.649500893272052,124
85,Truck43241,1001834,C,8.1,684,699.9445983412984,15.944598341298404,124
86,Truck43220,1002495,C,1.2,685,699.5946135697111,14.59461356971108,124
87,Truck43219,1002495,C,1.2,687,700.2027960738794,13.202796073879403,124
88,Truck43242,1001834,C,8.1,689,703.816628179489,14.81662817948905,124
89,Truck43221,1002495,C,1.2,690,706.5336401064448,16.533640106444743,124
90,Truck43225,1002427,C,2.8,690,705.0969006750622,15.096900675062262,124
91,Truck43226,1002427,C,2.8,693,711.7735372126612,18.773537212661132,124
92,Truck43243,1001834,C,8.1,694,711.953003736472,17.95300373647202,124
93,Truck43227,1002427,C,2.8,697,714.70967545809,17.70967545809004,124
94,Truck43222,1002495,C,1.2,698,712.153145325993,14.153145325993034,124
95,Truck43244,1001834,C,8.1,699,711.6408200018711,12.640820001871145,124
96,Truck43223,1002495,C,1.2,702,716.2306075247924,14.230607524792353,124
97,Truck43245,1001834,C,8.1,704,722.1582833625117,18.15828336251174,124
98,Truck43224,1002495,C,1.2,705,716.6204930435674,11.620493043567398,124
99,Truck43228,1002427,C,2.8,706,718.0630393350623,12.063039335062237,124
100,Truck43229,1002427,C,2.8,707,723.9817121123358,16.981712112335845,124
101,Truck43246,1001834,C,8.1,709,719.12730327272,10.12730327272007,124
102,Truck43230,1002427,C,2.8,713,732.7010439147359,19.701043914735976,124
103,Truck43247,1001834,C,8.1,714,727.7724226413343,13.772422641334277,124
104,Truck43231,1002427,C,2.8,715,730.065657703762,15.06565770376197,124
105,Truck43225,1002495,C,1.2,717,732.6082892210707,15.608289221070637,124
106,Truck43232,1002427,C,2.8,717,733.4249990974586,16.424999097458574,124
107,Truck43248,1001834,C,8.1,719,730.733882033292,11.73388203329204,124
108,Truck43226,1002495,C,1.2,723,740.0245409431906,17.024540943190605,124
109,Truck43233,1002427,C,2.8,723,737.2449788335574,14.244978833557452,124
110,Truck43249,1001834,C,8.1,724,739.0712080758352,15.07120807583521,124
111,Truck43227,1002495,C,1.2,726,740.6876939242384,14.687693924238395,124
112,Truck43250,1001834,C,8.1,729,746.9650539920362,17.96505399203619,124
113,Truck43228,1002495,C,1.2,730,744.8237886638818,14.823788663881867,124
114,Truck43234,1002427,C,2.8,730,748.1426072822987,18.14260728229874,124
115,Truck43251,1001834,C,8.1,734,744.5162343168853,10.516234316885326,124
116,Truck43229,1002495,C,1.2,735,751.6837762676342,16.68377626763422,124
117,Truck43235,1002427,C,2.8,736,755.6770043078538,19.677004307853842,124
118,Truck43252,1001834,C,8.1,739,758.6248319611394,19.62483196113947,124
119,Truck43231,1002495,C,1.2,742,752.9281900058261,10.928190005826027,124
120,Truck43230,1002495,C,1.2,744,761.65210733994,17.652107339939963,124
121,Truck43253,1001834,C,8.1,744,756.8394999568712,12.839499956871288,124
122,Truck43232,1002495,C,1.2,745,764.8809243600138,19.88092436001378,124
123,Truck43236,1002427,C,2.8,746,757.6087406250415,11.608740625041516,124
124,Truck43237,1002427,C,2.8,746,762.1382599315175,16.138259931517474,124
125,Truck43233,1002495,C,1.2,749,768.6601607578255,19.66016075782545,124
126,Truck43254,1001834,C,8.1,749,764.6151352414568,15.615135241456747,124
127,Truck43239,1002427,C,2.8,753,769.4887326810681,16.488732681068036,124
128,Truck43255,1001834,C,8.1,754,765.5378050977866,11.537805097786688,124
129,Truck43238,1002427,C,2.8,756,766.0439368041361,10.043936804136194,124
130,Truck43256,1001834,C,8.1,759,771.3023758451359,12.302375845135849,124
131,Truck43234,1002495,C,1.2,760,775.0842302180439,15.084230218043935,124
132,Truck43240,1002427,C,2.8,762,780.0863431564211,18.086343156421066,124
133,Truck43257,1001834,C,8.1,764,782.17359362246,18.173593622459993,124
134,Truck43235,1002495,C,1.2,767,785.1205139826352,18.12051398263525,124
135,Truck43241,1002427,C,2.8,767,779.2355317235053,12.23553172350536,124
136,Truck43236,1002495,C,1.2,769,786.9334372073422,17.933437207342177,124
137,Truck43258,1001834,C,8.1,769,787.7052900634485,18.705290063448512,124
138,Truck43242,1002427,C,2.8,771,790.9268847778679,19.926884777867947,124
139,Truck43237,1002495,C,1.2,774,788.1202113568005,14.120211356800445,124
140,Truck43259,1001834,C,8.1,774,786.1061914423841,12.106191442384151,124
141,Truck43238,1002495,C,1.2,778,793.2132150769254,15.213215076925357,124
142,Truck43243,1002427,C,2.8,779,794.8653063334137,15.865306333413773,124
143,Truck43244,1002427,C,2.8,779,791.8871942503529,12.887194250352916,124
144,Truck43260,1001834,C,8.1,779,793.5554485117688,14.55544851176879,124
145,Truck43239,1002495,C,1.2,781,794.5814145323944,13.581414532394447,124
146,Truck43261,1001834,C,8.1,784,796.6142961589819,12.614296158981965,124
147,Truck43246,1002427,C,2.8,787,803.3268342823494,16.326834282349395,124
148,Truck43262,1001834,C,8.1,789,804.9428342210374,15.942834221037451,124
149,Truck43245,1002427,C,2.8,790,800.4119619192317,10.41196191923161,124
150,Truck43241,1002495,C,1.2,791,806.8472568031549,15.847256803154922,124
151,Truck43240,1002495,C,1.2,792,804.8475153970451,12.847515397045113,124
152,Truck43263,1001834,C,8.1,794,813.3804011184759,19.380401118475902,124
153,Truck43247,1002427,C,2.8,795,810.169138574397,15.169138574396992,124
154,Truck43248,1002427,C,2.8,798,816.1159978181942,18.115997818194174,124
155,Truck43264,1001834,C,8.1,799,818.3106230748248,19.310623074824775,124
156,Truck43242,1002495,C,1.2,802,816.8118346102469,14.811834610246926,124
157,Truck43244,1002495,C,1.2,803,813.1911469362758,10.19114693627584,124
158,Truck43265,1001834,C,8.1,804,818.4401388225649,14.440138822564897,124
159,Truck43243,1002495,C,1.2,806,821.3508535970872,15.35085359708718,124
160,Truck43249,1002427,C,2.8,807,823.4728551583235,16.472855158323398,124
161,Truck43266,1001834,C,8.1,809,827.6587352444528,18.658735244452842,124
162,Truck43245,1002495,C,1.2,812,829.4965169109265,17.496516910926474,124
163,Truck43251,1002427,C,2.8,812,822.7949040808061,10.79490408080608,124
164,Truck43250,1002427,C,2.8,814,832.4839609982804,18.48396099828041,124
165,Truck43267,1001834,C,8.1,814,833.7255367146385,19.72553671463841,124
166,Truck43246,1002495,C,1.2,815,833.8700884059401,18.87008840594012,124
167,Truck43268,1001834,C,8.1,819,829.2342547885621,10.234254788562078,124
168,Truck43247,1002495,C,1.2,822,839.0094455174141,17.009445517414026,124
169,Truck43253,1002427,C,2.8,824,835.4948896062517,11.494889606251764,124
170,Truck43269,1001834,C,8.1,824,834.5287906027405,10.528790602740544,124
171,Truck43252,1002427,C,2.8,826,841.8621086171512,15.862108617151232,124
172,Truck43248,1002495,C,1.2,828,843.2859096439661,15.285909643966093,124
173,Truck43270,1001834,C,8.1,829,845.5362210194994,16.536221019499386,124
174,Truck43254,1002427,C,2.8,832,844.8677133128372,12.867713312837214,124
175,Truck43255,1002427,C,2.8,833,850.4681200707529,17.46812007075294,124
176,Truck43251,1002495,C,1.2,834,847.3005833775692,13.300583377569133,124
177,Truck43271,1001834,C,8.1,834,844.0418165002402,10.04181650024018,124
178,Truck43249,1002495,C,1.2,835,845.0548122750446,10.054812275044625,124
179,Truck43256,1002427,C,2.8,839,852.2745277449487,13.274527744948776,124
180,Truck43272,1001834,C,8.1,839,851.9779799108073,12.97797991080736,124
181,Truck43250,1002495,C,1.2,844,854.3346876313658,10.334687631365814,124
182,Truck43273,1001834,C,8.1,844,861.0540860091384,17.054086009138345,124
183,Truck43253,1002495,C,1.2,847,863.4187004696914,16.418700469691473,124
184,Truck43274,1001834,C,8.1,849,859.2317968912307,10.231796891230768,124
185,Truck43257,1002427,C,2.8,850,863.5972881739162,13.597288173916276,124
186,Truck43252,1002495,C,1.2,853,872.6074495625514,19.60744956255141,124
187,Truck43259,1002427,C,2.8,854,865.6167439703185,11.61674397031842,124
188,Truck43275,1001834,C,8.1,854,866.80122508515,12.801225085150023,124
189,Truck43258,1002427,C,2.8,855,866.895332727129,11.895332727128974,124
190,Truck43254,1002495,C,1.2,856,874.6797567869925,18.679756786992503,124
191,Truck43276,1001834,C,8.1,859,875.2263039129144,16.226303912914393,124
192,Truck43260,1002427,C,2.8,861,879.3278243461457,18.327824346145636,124
193,Truck43255,1002495,C,1.2,862,879.5017236121646,17.5017236121646,124
194,Truck43256,1002495,C,1.2,864,878.1499868697712,14.149986869771144,124
195,Truck43261,1002427,C,2.8,864,882.6557882714275,18.655788271427426,124
196,Truck43277,1001834,C,8.1,864,883.6130712580432,19.613071258043245,124
197,Truck43278,1001834,C,8.1,869,886.4966412913276,17.49664129132763,124
198,Truck43262,1002427,C,2.8,872,884.6774293239205,12.677429323920535,124
199,Truck43279,1001834,C,8.1,874,888.3881101527254,14.388110152725405,124
200,Truck43257,1002495,C,1.2,875,889.1630958479086,14.163095847908561,124
201,Truck43259,1002495,C,1.2,877,891.753462733578,14.753462733578026,124
202,Truck43258,1002495,C,1.2,878,895.3996460803804,17.399646080380467,124
203,Truck43280,1001834,C,8.1,879,896.6400478842269,17.640047884226853,124
204,Truck43263,1002427,C,2.8,881,897.2614138123597,16.26141381235967,124
205,Truck43281,1001834,C,8.1,884,897.768723230462,13.76872323046195,124
206,Truck43264,1002427,C,2.8,886,902.5408826861362,16.54088268613618,124
207,Truck43265,1002427,C,2.8,886,897.3714335726193,11.371433572619226,124
208,Truck43282,1001834,C,8.1,889,902.1745982676518,13.174598267651817,124
209,Truck43260,1002495,C,1.2,891,907.30782532835,16.30782532835,124
210,Truck43261,1002495,C,1.2,894,908.2399964782928,14.23999647829287,124
211,Truck43283,1001834,C,8.1,894,908.4586503611553,14.458650361155257,124
212,Truck43266,1002427,C,2.8,895,908.9817996449368,13.981799644936821,124
213,Truck43262,1002495,C,1.2,896,908.0659312732117,12.065931273211689,124
214,Truck43268,1002427,C,2.8,897,912.0744534281789,15.074453428178941,124
215,Truck43284,1001834,C,8.1,899,916.5248014637418,17.524801463741767,124
216,Truck43267,1002427,C,2.8,901,917.7554299679423,16.755429967942344,124
217,Truck43269,1002427,C,2.8,902,916.7993389007634,14.799338900763406,124
