,truck_id,bridge_id,bridge_condition,bridge_length,start_time,end_time,wait_duration,seed
0,Truck28800,1001866.0,D,10.0,483.0,513.0084648575581,30.00846485755808,124
1,Truck28801,1001866.0,D,10.0,488.0,531.3123351146576,43.3123351146576,124
2,Truck28802,1001866.0,D,10.0,493.0,545.5658064324396,52.56580643243956,124
3,Truck28803,1001866.0,D,10.0,498.0,545.4523977953914,47.45239779539147,124
4,Truck28804,1001866.0,D,10.0,503.0,530.2678594499498,27.26785944994983,124
5,Truck28805,1001866.0,D,10.0,508.0,557.7674695808778,49.76746958087782,124
6,Truck28806,1001866.0,D,10.0,513.0,532.0974869636042,19.09748696360421,124
7,Truck28807,1001866.0,D,10.0,518.0,550.4502119882462,32.450211988246274,124
8,Truck28808,1001866.0,D,10.0,523.0,573.8859402501902,50.88594025019019,124
9,Truck28809,1001866.0,D,10.0,528.0,575.8806110984107,47.880611098410675,124
10,Truck28810,1001866.0,D,10.0,533.0,578.0572586663116,45.0572586663116,124
11,Truck28811,1001866.0,D,10.0,538.0,597.9159208240198,59.91592082401983,124
12,Truck28812,1001866.0,D,10.0,543.0,578.7153071339576,35.71530713395758,124
13,Truck28813,1001866.0,D,10.0,548.0,602.054471412301,54.05447141230104,124
14,Truck28814,1001866.0,D,10.0,553.0,590.6533437107462,37.65334371074613,124
15,Truck28815,1001866.0,D,10.0,558.0,611.094916210421,53.09491621042102,124
16,Truck28816,1001866.0,D,10.0,563.0,578.5438997888187,15.543899788818749,124
17,Truck28817,1001866.0,D,10.0,568.0,624.2827628417151,56.282762841715105,124
18,Truck28818,1001866.0,D,10.0,573.0,611.7769330025272,38.776933002527194,124
19,Truck28819,1001866.0,D,10.0,578.0,606.704425456275,28.70442545627497,124
20,Truck28820,1001866.0,D,10.0,583.0,634.7049361502484,51.704936150248415,124
21,Truck28821,1001866.0,D,10.0,588.0,614.4671770518275,26.4671770518275,124
22,Truck28822,1001866.0,D,10.0,593.0,629.6843922884649,36.684392288464856,124
