,truck_id,bridge_id,bridge_condition,bridge_length,start_time,end_time,wait_duration
0,Truck99360,1000091,B,40.4,25,73.48582069286347,48.48582069286347
1,Truck99361,1000091,B,40.4,30,56.445290058520314,26.445290058520314
2,Truck99362,1000091,B,40.4,35,76.84326841784598,41.84326841784598
3,Truck99363,1000091,B,40.4,40,57.10500858234493,17.10500858234493
4,Truck99364,1000091,B,40.4,45,78.15106673861852,33.151066738618525
5,Truck99365,1000091,B,40.4,50,81.74894660544004,31.74894660544004
6,Truck99366,1000091,B,40.4,55,81.314836451687,26.314836451687007
7,Truck99367,1000091,B,40.4,60,107.3169580569944,47.3169580569944
8,Truck99368,1000091,B,40.4,65,114.08818294940966,49.08818294940965
9,Truck99361,1000130,C,900.0,66,173.85280850454131,107.8528085045413
10,Truck99363,1000130,C,900.0,67,170.91983395646355,103.91983395646356
11,Truck99369,1000091,B,40.4,70,119.24240947007593,49.24240947007592
12,Truck99370,1000091,B,40.4,75,123.88758567320144,48.88758567320144
13,Truck99371,1000091,B,40.4,80,96.9798862589358,16.9798862589358
14,Truck99360,1000130,C,900.0,83,209.9116715999416,126.91167159994161
15,Truck99372,1000091,B,40.4,85,124.05787319420133,39.057873194201335
16,Truck99362,1000130,C,900.0,86,215.2971170036226,129.2971170036226
17,Truck99364,1000130,C,900.0,88,250.12304151019538,162.12304151019538
18,Truck99373,1000091,B,40.4,90,133.5004588144139,43.50045881441388
19,Truck99365,1000130,C,900.0,91,233.43965765390425,142.43965765390425
20,Truck99366,1000130,C,900.0,91,229.59303503035596,138.59303503035596
21,Truck99374,1000091,B,40.4,95,146.110191804994,51.110191804993995
22,Truck99375,1000091,B,40.4,100,149.71949333723342,49.7194933372334
23,Truck99376,1000091,B,40.4,105,140.99059039187196,35.99059039187197
24,Truck99371,1000130,C,900.0,106,219.91788430982814,113.91788430982815
25,Truck99377,1000091,B,40.4,110,126.70088409422678,16.70088409422678
26,Truck99378,1000091,B,40.4,115,149.33825475089742,34.338254750897406
27,Truck99367,1000130,C,900.0,117,242.02234253862585,125.02234253862585
28,Truck99379,1000091,B,40.4,120,146.0464054001169,26.04640540011691
29,Truck99368,1000130,C,900.0,124,267.39346989923587,143.39346989923587
30,Truck99380,1000091,B,40.4,125,162.6789970703083,37.67899707030831
31,Truck99369,1000130,C,900.0,129,221.86279739887382,92.86279739887382
32,Truck99381,1000091,B,40.4,130,163.22994625789798,33.22994625789797
33,Truck99370,1000130,C,900.0,133,258.8812736737173,125.8812736737173
34,Truck99372,1000130,C,900.0,134,240.49297393080602,106.49297393080602
35,Truck99382,1000091,B,40.4,135,178.99792514804534,43.997925148045326
36,Truck99377,1000130,C,900.0,136,294.2147650971878,158.2147650971878
37,Truck99383,1000091,B,40.4,140,187.12375449904587,47.123754499045866
38,Truck99373,1000130,C,900.0,143,252.681348871149,109.68134887114901
39,Truck99384,1000091,B,40.4,145,169.581647343431,24.581647343431012
40,Truck99376,1000130,C,900.0,150,310.20345372034103,160.20345372034106
41,Truck99385,1000091,B,40.4,150,167.1886141447943,17.188614144794286
42,Truck99386,1000091,B,40.4,155,176.59899706248393,21.598997062483917
43,Truck99374,1000130,C,900.0,156,306.05914739298305,150.05914739298305
44,Truck99379,1000130,C,900.0,156,239.8092519767161,83.8092519767161
45,Truck99375,1000130,C,900.0,159,277.77813385704235,118.77813385704235
46,Truck99378,1000130,C,900.0,159,239.69206626607422,80.69206626607422
47,Truck99387,1000091,B,40.4,160,205.15247655142485,45.15247655142484
48,Truck99388,1000091,B,40.4,165,206.6275045744756,41.627504574475616
49,Truck99389,1000091,B,40.4,170,190.09991743520365,20.099917435203643
50,Truck99380,1000130,C,900.0,172,329.49431583896,157.49431583896
51,Truck99381,1000130,C,900.0,173,302.94952532378585,129.94952532378585
52,Truck99390,1000091,B,40.4,175,214.0137811982193,39.01378119821931
53,Truck99385,1000130,C,900.0,177,320.75168792154966,143.75168792154963
54,Truck99384,1000130,C,900.0,179,338.17369425751156,159.17369425751158
55,Truck99391,1000091,B,40.4,180,197.4303272503726,17.430327250372628
56,Truck99392,1000091,B,40.4,185,209.22708165848178,24.227081658481765
57,Truck99386,1000130,C,900.0,186,270.05194923321244,84.05194923321247
58,Truck99382,1000130,C,900.0,188,335.1231505718579,147.12315057185788
59,Truck99363,1000216,C,1408.8,189,315.59142940203844,126.59142940203846
60,Truck99393,1000091,B,40.4,190,235.284126528006,45.284126528006
61,Truck99361,1000216,C,1408.8,192,341.1242723946461,149.12427239464608
62,Truck99394,1000091,B,40.4,195,238.11248760253432,43.112487602534316
63,Truck99383,1000130,C,900.0,197,304.7611524415315,107.76115244153152
64,Truck99389,1000130,C,900.0,200,363.0887092520896,163.0887092520896
65,Truck99395,1000091,B,40.4,200,256.8143707746935,56.81437077469351
66,Truck99396,1000091,B,40.4,205,242.06960874271465,37.069608742714635
67,Truck99391,1000130,C,900.0,207,303.0691830118535,96.06918301185351
68,Truck99397,1000091,B,40.4,210,247.3634475665578,37.36344756655778
69,Truck99387,1000130,C,900.0,215,289.55766929752787,74.55766929752787
70,Truck99398,1000091,B,40.4,215,263.61182147471294,48.61182147471296
71,Truck99388,1000130,C,900.0,216,325.08336325135133,109.08336325135136
72,Truck99392,1000130,C,900.0,219,364.46452309060084,145.46452309060084
73,Truck99399,1000091,B,40.4,220,244.66977937070678,24.66977937070677
74,Truck99390,1000130,C,900.0,224,330.07270979218754,106.07270979218752
75,Truck99400,1000091,B,40.4,225,253.75185995976295,28.751859959762943
76,Truck99360,1000216,C,1408.8,228,377.1023031830151,149.10230318301515
77,Truck99401,1000091,B,40.4,230,257.606177118214,27.606177118214006
78,Truck99362,1000216,C,1408.8,234,344.6852172725921,110.68521727259214
79,Truck99402,1000091,B,40.4,235,252.0191954757986,17.019195475798597
80,Truck99371,1000216,C,1408.8,238,384.514110236537,146.51411023653702
81,Truck99369,1000216,C,1408.8,240,358.91995107406933,118.91995107406932
82,Truck99403,1000091,B,40.4,240,256.8884345453959,16.88843454539591
83,Truck99393,1000130,C,900.0,245,385.5967209083101,140.59672090831012
84,Truck99404,1000091,B,40.4,245,263.5324449999309,18.532444999930867
85,Truck99366,1000216,C,1408.8,248,407.36068043845063,159.36068043845063
86,Truck99394,1000130,C,900.0,248,393.2272762093663,145.22727620936632
87,Truck99405,1000091,B,40.4,250,283.46612928373395,33.46612928373398
88,Truck99365,1000216,C,1408.8,252,382.60189855270795,130.60189855270795
89,Truck99396,1000130,C,900.0,252,373.97677012067834,121.97677012067834
90,Truck99399,1000130,C,900.0,254,341.4604519943333,87.46045199433328
91,Truck99406,1000091,B,40.4,255,270.26647339496765,15.266473394967655
92,Truck99397,1000130,C,900.0,257,414.65927224859115,157.65927224859118
93,Truck99378,1000216,C,1408.8,258,342.337948940991,84.337948940991
94,Truck99379,1000216,C,1408.8,258,395.75464270603544,137.75464270603544
95,Truck99372,1000216,C,1408.8,259,392.25217920372353,133.25217920372353
96,Truck99407,1000091,B,40.4,260,275.95570669490724,15.955706694907244
97,Truck99367,1000216,C,1408.8,261,395.21562529250343,134.21562529250343
98,Truck99402,1000130,C,900.0,262,362.4757642206593,100.4757642206593
99,Truck99400,1000130,C,900.0,263,360.3484818833796,97.3484818833796
100,Truck99408,1000091,B,40.4,265,305.92173064581834,40.92173064581837
101,Truck99395,1000130,C,900.0,266,428.87010922440754,162.8701092244075
102,Truck99403,1000130,C,900.0,266,387.62231054127903,121.622310541279
103,Truck99401,1000130,C,900.0,267,385.476821022909,118.476821022909
104,Truck99364,1000216,C,1408.8,269,410.0192394367655,141.01923943676547
105,Truck99409,1000091,B,40.4,270,298.7401433238513,28.74014332385135
106,Truck99373,1000216,C,1408.8,271,407.61610121243865,136.61610121243865
107,Truck99398,1000130,C,900.0,273,407.48620069409884,134.48620069409884
108,Truck99404,1000130,C,900.0,273,406.666754755754,133.66675475575403
109,Truck99410,1000091,B,40.4,275,327.7421591217666,52.7421591217666
110,Truck99370,1000216,C,1408.8,277,391.01382611834117,114.01382611834117
111,Truck99406,1000130,C,900.0,280,358.8955426779519,78.89554267795191
112,Truck99411,1000091,B,40.4,280,318.1136652919928,38.11366529199281
113,Truck99407,1000130,C,900.0,285,395.59556590995373,110.59556590995373
114,Truck99412,1000091,B,40.4,285,307.2509684321137,22.25096843211375
115,Truck99368,1000216,C,1408.8,286,424.0515159325157,138.0515159325157
116,Truck99386,1000216,C,1408.8,289,431.9948563703439,142.99485637034388
117,Truck99413,1000091,B,40.4,290,334.69747698324346,44.69747698324346
118,Truck99405,1000130,C,900.0,293,436.08638225604625,143.08638225604625
119,Truck99414,1000091,B,40.4,295,345.34501208296115,50.34501208296113
120,Truck99375,1000216,C,1408.8,296,447.28407460141193,151.2840746014119
121,Truck99415,1000091,B,40.4,300,323.6389150785618,23.6389150785618
122,Truck99416,1000091,B,40.4,305,320.0143636105618,15.014363610561826
123,Truck99387,1000216,C,1408.8,308,421.42709881806616,113.42709881806618
124,Truck99409,1000130,C,900.0,308,407.6750167255031,99.6750167255031
125,Truck99417,1000091,B,40.4,310,364.5399173429262,54.53991734292616
126,Truck99377,1000216,C,1408.8,313,403.47772548079297,90.477725480793
127,Truck99408,1000130,C,900.0,315,429.1139896345327,114.11398963453269
128,Truck99418,1000091,B,40.4,315,370.94206949003575,55.94206949003576
129,Truck99412,1000130,C,900.0,317,436.9433269658887,119.9433269658887
130,Truck99363,1000225,C,21.8,319,356.87126334914177,37.871263349141756
131,Truck99419,1000091,B,40.4,320,362.3822220205411,42.3822220205411
132,Truck99381,1000216,C,1408.8,321,457.5936130749471,136.5936130749471
133,Truck99391,1000216,C,1408.8,322,420.9814203486958,98.98142034869576
134,Truck99383,1000216,C,1408.8,323,467.0306528404148,144.0306528404148
135,Truck99374,1000216,C,1408.8,325,423.19198100974575,98.19198100974572
136,Truck99420,1000091,B,40.4,325,376.445846134878,51.445846134878
137,Truck99411,1000130,C,900.0,328,454.69958315659346,126.69958315659346
138,Truck99376,1000216,C,1408.8,329,478.1039771188394,149.1039771188394
139,Truck99416,1000130,C,900.0,330,472.8122426168264,142.81224261682638
140,Truck99421,1000091,B,40.4,330,348.3271138188121,18.327113818812105
141,Truck99415,1000130,C,900.0,333,471.1674160454438,138.16741604544382
142,Truck99422,1000091,B,40.4,335,387.8495086015357,52.84950860153569
143,Truck99410,1000130,C,900.0,337,426.76153680235467,89.76153680235467
144,Truck99385,1000216,C,1408.8,339,489.77956567707827,150.77956567707824
145,Truck99423,1000091,B,40.4,340,359.26925257828356,19.269252578283552
146,Truck99388,1000216,C,1408.8,344,482.1339576932531,138.13395769325308
147,Truck99413,1000130,C,900.0,344,449.9407086499373,105.9407086499373
148,Truck99361,1000225,C,21.8,345,400.0655136417346,55.06551364173456
149,Truck99424,1000091,B,40.4,345,364.5307910766865,19.53079107668651
150,Truck99378,1000225,C,21.8,346,373.5164757660714,27.516475766071387
151,Truck99362,1000225,C,21.8,348,406.78575136045134,58.78575136045132
152,Truck99380,1000216,C,1408.8,348,455.40673053531174,107.40673053531174
153,Truck99390,1000216,C,1408.8,349,474.1745256125002,125.17452561250019
154,Truck99425,1000091,B,40.4,350,398.22745234565843,48.22745234565841
155,Truck99382,1000216,C,1408.8,354,443.9761827033372,89.9761827033372
156,Truck99414,1000130,C,900.0,355,516.1522687226661,161.15226872266612
157,Truck99426,1000091,B,40.4,355,412.45277613164376,57.452776131643745
158,Truck99363,1000228,B,6.0,357,373.39552075537887,16.395520755378882
159,Truck99384,1000216,C,1408.8,357,486.86242473097946,129.86242473097943
160,Truck99421,1000130,C,900.0,358,489.478289711844,131.478289711844
161,Truck99399,1000216,C,1408.8,360,514.5955866976508,154.59558669765084
162,Truck99427,1000091,B,40.4,360,415.6959232956785,55.695923295678504
163,Truck99369,1000225,C,21.8,362,398.12763123887174,36.12763123887174
164,Truck99428,1000091,B,40.4,365,424.9153630023311,59.915363002331084
165,Truck99423,1000130,C,900.0,369,530.7073691262193,161.70736912621933
166,Truck99429,1000091,B,40.4,370,425.2759441622619,55.27594416226192
167,Truck99419,1000130,C,900.0,372,531.0397086841631,159.03970868416314
168,Truck99378,1000228,B,6.0,374,387.1279818385609,13.127981838560911
169,Truck99417,1000130,C,900.0,374,505.0569917887726,131.05699178877262
170,Truck99424,1000130,C,900.0,374,510.50254358319023,136.50254358319026
171,Truck99430,1000091,B,40.4,375,402.93580010756773,27.93580010756773
172,Truck99406,1000216,C,1408.8,377,523.4736542356092,146.47365423560916
173,Truck99400,1000216,C,1408.8,379,457.5022817374866,78.50228173748661
174,Truck99418,1000130,C,900.0,380,527.9417117699791,147.94171176997904
175,Truck99431,1000091,B,40.4,380,402.797887429298,22.797887429297962
176,Truck99360,1000225,C,21.8,381,398.1378564223606,17.137856422360585
