,truck_id,bridge_id,bridge_condition,bridge_length,start_time,end_time,wait_duration
0,Truck56160,1000267,C,4.5,73,84.1807097923614,11.180709792361395
1,Truck56161,1000267,C,4.5,78,93.80078033021206,15.800780330212064
2,Truck56162,1000267,C,4.5,83,99.46053273024941,16.46053273024942
3,Truck56163,1000267,C,4.5,88,99.3361376027543,11.336137602754306
4,Truck56164,1000267,C,4.5,93,107.16553415630354,14.16553415630354
5,Truck56165,1000267,C,4.5,98,113.96229473914723,15.962294739147229
6,Truck56166,1000267,C,4.5,103,118.78871766072893,15.788717660728928
7,Truck56167,1000267,C,4.5,108,125.80858053541206,17.808580535412055
8,Truck56168,1000267,C,4.5,113,131.92454273521915,18.92454273521914
9,Truck56169,1000267,C,4.5,118,128.8846822566709,10.884682256670912
10,Truck56170,1000267,C,4.5,123,134.00680465500838,11.006804655008386
11,Truck56171,1000267,C,4.5,128,140.69888220070783,12.69888220070782
12,Truck56172,1000267,C,4.5,133,152.42126655319746,19.421266553197448
13,Truck56173,1000267,C,4.5,138,154.70353586664788,16.703535866647893
14,Truck56160,1000393,C,27.35,141,171.25719467037783,30.25719467037784
15,Truck56174,1000267,C,4.5,143,157.60437569532507,14.604375695325077
16,Truck56175,1000267,C,4.5,148,159.86709367946239,11.86709367946239
17,Truck56161,1000393,C,27.35,150,206.23649943949948,56.23649943949947
18,Truck56176,1000267,C,4.5,153,170.50247570166067,17.502475701660664
19,Truck56162,1000393,C,27.35,156,181.77828335844572,25.77828335844572
20,Truck56163,1000393,C,27.35,156,208.39417753477204,52.394177534772055
21,Truck56177,1000267,C,4.5,158,169.62978416641855,11.629784166418558
22,Truck56178,1000267,C,4.5,163,179.89376947320247,16.893769473202468
23,Truck56164,1000393,C,27.35,164,191.86532070707239,27.865320707072378
24,Truck56179,1000267,C,4.5,168,181.1267471178768,13.12674711787678
25,Truck56165,1000393,C,27.35,170,208.42255530631982,38.42255530631982
26,Truck56180,1000267,C,4.5,173,187.07990941579487,14.079909415794873
27,Truck56166,1000393,C,27.35,175,234.63979629217403,59.63979629217401
28,Truck56181,1000267,C,4.5,178,193.54417833201614,15.544178332016145
29,Truck56167,1000393,C,27.35,182,207.27665111931873,25.276651119318714
30,Truck56182,1000267,C,4.5,183,198.72465130127176,15.72465130127176
31,Truck56169,1000393,C,27.35,185,205.52035576737114,20.52035576737114
32,Truck56168,1000393,C,27.35,188,214.39143719749862,26.39143719749861
33,Truck56183,1000267,C,4.5,188,202.83879804100872,14.838798041008712
34,Truck56170,1000393,C,27.35,191,206.98021802825795,15.980218028257964
35,Truck56184,1000267,C,4.5,193,205.5727420233481,12.572742023348109
36,Truck56171,1000393,C,27.35,197,232.02162671881806,35.02162671881805
37,Truck56185,1000267,C,4.5,198,212.81330952058525,14.813309520585243
38,Truck56186,1000267,C,4.5,203,219.51985988979575,16.51985988979575
39,Truck56187,1000267,C,4.5,208,221.1752914404317,13.175291440431684
40,Truck56172,1000393,C,27.35,209,229.23886489359612,20.238864893596105
41,Truck56173,1000393,C,27.35,211,228.90816450628705,17.908164506287054
42,Truck56188,1000267,C,4.5,213,224.14373345261623,11.143733452616244
43,Truck56174,1000393,C,27.35,214,243.52776269183047,29.527762691830475
44,Truck56175,1000393,C,27.35,216,262.063264284926,46.06326428492597
45,Truck56189,1000267,C,4.5,218,232.24788560193315,14.247885601933138
46,Truck56190,1000267,C,4.5,223,240.58279558306768,17.58279558306767
47,Truck56177,1000393,C,27.35,226,253.44276130407044,27.442761304070455
48,Truck56176,1000393,C,27.35,227,252.84644424026158,25.846444240261583
49,Truck56191,1000267,C,4.5,228,238.71791095183318,10.717910951833183
50,Truck56192,1000267,C,4.5,233,243.1457686935733,10.145768693573313
